kitap_id;kitap_adi
1;KAHVERENGİ DEDE
2;BÜYÜK KARDEŞ
3;KALPSİZ MAKAS
4;DÜŞÜK 
5;BİR ELDİVEN
6;YOĞUN İĞNE
7;İYİ KALPLİ AĞABEY
8;YUKARIDA ANNE
9;DOĞAL ANNE
10;SİMETRİK YEĞEN
11;UYGUN KEDİ
12;KIZGIN KARTAL
13;ASIL MİLLETVEKİLİ
14;ZALİM İĞNE
15;ART 
16;SUSKUN NİNE
17;YAŞLI ÖĞRETMEN
18;ZAYIF NİNE
19;İYİ MAKAS
20;MÜCADELECİ DOKTOR
21;MÜCADELECİ İPLİK
22;MODERN CEVİZ
23;UZUN HALA
24;AŞIRI ÖĞRETMEN
25;BİRKAÇ MÜHENDİS
26;EŞ MİLLETVEKİLİ
27;BİRİNCİ KARTAL
28;KENDİNE GÜVENMEYEN DOKTOR
29;BAĞIŞLAYICI HAKİM
30;ORTA KARPUZ
31;ÖZEL KEDİ
32;GÜVENİLMEZ AVUKAT
33;GİZLİ KARDEŞ
34;MAVİ KARTAL
35;KÖTÜMSER ÇORAP
36;AÇIK YEĞEN
37;YENİLİKÇİ AVUKAT
38;HAFİF NİNE
39;GENÇ ANNE
40;SORUMLULUK SAHİBİ BABA
41;TIKNAZ KİRAZ
42;UZUN KARPUZ
43;TAMAM TEYZE
44;YOĞUN CEVİZ
45;DOĞAL TARAK
46;ÖN MİLLETVEKİLİ
47;YAKLAŞIK ÇORAP
48;NÜKTELİ ÖĞRETMEN
49;KÖTÜMSER HAKİM
50;ÇORAK AĞABEY
51;CİDDİ ÖĞRETMEN
52;SORUMLULUK SAHİBİ 
53;MÜCADELECİ MAKAS
54;İKİNCİ KARPUZ
55;BİRİNCİ AVUKAT
56;TIKNAZ İPLİK
57;SONDERECE KÖPEK
58;GENİŞ HALA
59;İKİ DOKTOR
60;MÜCADELECİ TARAK
61;NORMAL NİNE
62;HIZLI AYAKKABI
63;ÖNEMLİ AĞABEY
64;ŞÜPHECİ BABA
65;HERŞEY ELDİVEN
66;KALPSİZ YEĞEN
67;TEMİZ YEĞEN
68;YAŞLI MİLLETVEKİLİ
69;KIZGIN ANNE
70;SAĞLIKLI CEKET
71;VURDUMDUYMAZ KÖPEK
72;ÇOK ÖĞRETMEN
73;KÜÇÜK MAKAS
74;GÜZEL İĞNE
75;AÇIK DOKTOR
76;KEDERLİ KİRAZ
77;BEŞ TARAK
78;VİCDANSIZ 
79;EŞ NİNE
80;KEDERLİ TEYZE
81;YAKLAŞIK KİRAZ
82;BENCİL KARPUZ
83;AYNI KARTAL
84;SARI FINDIK
85;EMİN KARTAL
86;RAHAT İĞNE
87;BEŞ HAKİM
88;AYRI ÖĞRETMEN
89;HERŞEY TEYZE
90;BİRAZ TARAK
91;HOŞ GÖREN İPLİK
92;KESİN YEĞEN
93;BEYAZ HAKİM
94;AYNI MAKAS
95;İYİMSER ELDİVEN
96;KAPALI KİRAZ
97;YUMUŞAK KARPUZ
98;ŞÜPHECİ KİRAZ
99; 
100;KASITLI HALA
101;DOĞAL KÖPEK
102;ÇOLAK MÜHENDİS
103;YOĞUN KARPUZ
104;ORTA ÖĞRETMEN
105;TAMAM AĞABEY
106;KAÇ BABA
107;BAŞKA AĞABEY
108;BENCİL YEĞEN
109;SAKİN DEDE
110;ARKADAŞ CANLISI TEYZE
111;NÜKTELİ HALA
112;DÜŞÜK ANNE
113;İYİ CEVİZ
114;AKLI BAŞINDA TARAK
115;MÜMKÜN MÜHENDİS
116;KÖTÜMSER AVUKAT
117;DOĞAL FINDIK
118;SICAK MÜHENDİS
119;PEK HAKİM
120;KAPALI BABA
121;AZ KİRAZ
122;TOPLUMSAL MİLLETVEKİLİ
123;MODERN TARAK
124;PEK KARTAL
125;KİMİ İĞNE
126;GEREKLİ MİLLETVEKİLİ
127;BİRAZ MAKAS
128;AĞIR AĞABEY
129;BENZER 
130;AŞIRI BABA
131;DİĞER CEKET
132;YUMUŞAK TARAK
133;UZAK YEĞEN
134;HAFİF KARPUZ
135;KEDERLİ KEDİ
136;EŞ AYAKKABI
137;SAĞLIKLI TARAK
138;SISKA KÖPEK
139;KEDERLİ DEDE
140;ULUSLARARASI AVUKAT
141;ÇOK DEDE
142;HAFİF HALA
143;ÖTEKİ İPLİK
144;ON AYAKKABI
145;SOĞUK CEKET
146;ÖN KEDİ
147;EMİN YEĞEN
148;KESKİN ZEKALI TARAK
149;HER KARPUZ
150;AĞIR YEĞEN
151;İNCE KARPUZ
152;YAVAŞ KARDEŞ
153;BEYAZ KİRAZ
154;VURDUMDUYMAZ KİRAZ
155;BENCİL MÜHENDİS
156;YAŞLI NİNE
157;AİT ÇORAP
158;ÇOĞU KEDİ
159;SİMETRİK BABA
160;CİMRİ KEDİ
161;İKİNCİ TORUN
162;ÇOLAK MAKAS
163;FAZLA KÖPEK
164;HAFİF ÇORAP
165;ART KİRAZ
166;HAZIR AĞABEY
167;YALNIZ CEKET
168;BİRKAÇ ELDİVEN
169;ÜNLÜ HAKİM
170;MAVİ KARPUZ
171;UÇ MİLLETVEKİLİ
172;HAZIR İPLİK
173;BOŞ TEYZE
174;AYNI AVUKAT
175;YETERLİ TEYZE
176;KEDERLİ FINDIK
177;ÖN YARGILI TORUN
178;ÜÇ YEĞEN
179;GEREKLİ YEĞEN
180;ULUSLARARASI 
181;İLGİLİ HAKİM
182;MUHAFAZAKAR TEYZE
183;KÖTÜMSER ELDİVEN
184;HAZIR AVUKAT
185;DEĞİŞİKLİĞE AÇIK DOKTOR
186;SEVGİLİ BABA
187;KENDİNE GÜVENMEYEN ÖĞRETMEN
188;PEK DEDE
189;ZENGİN CEKET
190;YUKARIDA MAKAS
191;ÜÇ ELDİVEN
192;YENİLİKÇİ NİNE
193;YAKLAŞIK ÖĞRETMEN
194;BEYAZ AYAKKABI
195;MAVİ 
196;GEREKLİ MÜHENDİS
197;MOR MAKAS
198;BİRİNCİ İĞNE
199;İYİ CEKET
200;YEDİ TORUN
201;SARI TORUN
202;GEREK İPLİK
203;İLGİLİ AĞABEY
204;UÇ HAKİM
205;YARI TORUN
206;HIZLI TARAK
207;MÜCADELECİ KARPUZ
208;MODERN İPLİK
209;YAŞLI DOKTOR
210;MÜMKÜN MAKAS
211;BİRAZ ÖĞRETMEN
212;KARANLIK DEDE
213;GERİ KARDEŞ
214;ÖN BABA
215;YEŞİL AĞABEY
216;PEK ÖĞRETMEN
217;BİRAZ BABA
218;ULUSLARARASI FINDIK
219;DAR HAKİM
220;BİRAZ HALA
221;BELLİ İĞNE
222;HIRÇIN BABA
223;UYGUN CEKET
224;TATLI DOKTOR
225;KENDİNE GÜVENMEYEN KİRAZ
226;YOĞUN ELDİVEN
227;SERT KARDEŞ
228;AÇIK FİKİRLİ MÜHENDİS
229;BAŞKA CEVİZ
230;ZAYIF CEVİZ
231;GÜZEL KÖPEK
232;SONDERECE ANNE
233;İLK DEDE
234;NORMAL KÖPEK
235;ŞİŞMAN AYAKKABI
236;TIKNAZ AĞABEY
237;GEREK MİLLETVEKİLİ
238;GEÇEN TORUN
239;KÜÇÜK İPLİK
240;SOĞUK BABA
241;KÜÇÜK KARTAL
242;DEĞİŞİKLİĞE AÇIK ELDİVEN
243;ULUSLARARASI CEKET
244;KALPSİZ TEYZE
245;GERİ TEYZE
246;KÜÇÜK KARPUZ
247;İYİ HUYLU ELDİVEN
248;VİCDANSIZ KİRAZ
249;BİRER ÇORAP
250;KOLAY AYAKKABI
251;ADALETSİZ AYAKKABI
252;ŞİŞMAN TORUN
253;BÜYÜK KÖPEK
254;BİRİNCİ ÖĞRETMEN
255;TEK CEVİZ
256;AKLI BAŞINDA İĞNE
257;AĞIR TEYZE
258;UYGUN MAKAS
259;DAHA KİRAZ
260;TAMAM TORUN
261;KARMAŞIK ÇORAP
262;BELLİ DEDE
263;YAPAY MAKAS
264;ALT KARPUZ
265;HOŞ GÖREN HALA
266;ÇORAK TARAK
267;ÖTEKİ MİLLETVEKİLİ
268;BİRAZ İĞNE
269;PRENSİPLİ ÖĞRETMEN
270;KARANLIK İĞNE
271;ÇOK ELDİVEN
272;GENEL FINDIK
273;SABİT 
274;TERS AĞABEY
275;SONDERECE ELDİVEN
276;AYRI CEKET
277;GÜVENİLMEZ ÖĞRETMEN
278;FAZLA ANNE
279;ŞİŞMAN MÜHENDİS
280;İNCE HAKİM
281;KARANLIK AYAKKABI
282;KÖTÜ HALA
283;KEDERLİ DOKTOR
284;UYGUN KİRAZ
285;HERŞEY KARTAL
286;KÜÇÜK TARAK
287;TIKNAZ TARAK
288;DÜŞÜK AVUKAT
289;YEŞİL HALA
290;SEVGİLİ MÜHENDİS
291;BÜTÜN KARTAL
292;SUSKUN ANNE
293;ARKADAŞ CANLISI KARDEŞ
294;ZAYIF İPLİK
295;NÜKTELİ İPLİK
296;ÖTE MİLLETVEKİLİ
297;KÜÇÜK KÖPEK
298;HAZIR ÇORAP
299;DAHA KEDİ
300;YEDİ İĞNE
301;DAHA TEYZE
302;DAR TORUN
303;ON KARPUZ
304;BEYAZ YEĞEN
305;DEĞİŞİKLİĞE AÇIK KARTAL
306;HOŞ CEKET
307;YAKLAŞIK DEDE
308;YETERLİ CEKET
309;VEFASIZ ÖĞRETMEN
310;GEÇEN YEĞEN
311;TERS KARPUZ
312;KARMAŞIK KİRAZ
313;ADALETSİZ TORUN
314;ÜST AYAKKABI
315;TÜM CEKET
316;ON CEKET
317;AÇIK NİNE
318;TOPLUMSAL İPLİK
319;KÖTÜ KALPLİ MÜHENDİS
320;YEŞİL AVUKAT
321;KISA ÇORAP
322;ÇOK TEYZE
323;YEDİ BABA
324;KİMİ ELDİVEN
325;BÜYÜK TARAK
326;İŞ BİRLİĞİNE YATKIN YEĞEN
327;UZAK İPLİK
328;PEK CEKET
329;ŞİŞMAN DEDE
330;İLK MÜHENDİS
331;YENİLİKÇİ ANNE
332;HAFİF DEDE
333;SOĞUK HALA
334;SABİT TEYZE
335;KAÇ MÜHENDİS
336;KAPALI İPLİK
337;AKLI BAŞINDA AVUKAT
338;BEŞ KÖPEK
339;AKLI BAŞINDA ÖĞRETMEN
340;GENİŞ ELDİVEN
341;YETERLİ DOKTOR
342;BAĞIŞLAYICI HALA
343;BAZI YEĞEN
344;BAŞKA MÜHENDİS
345;VAR DOKTOR
346;YUMUŞAK AĞABEY
347;KALPSİZ HAKİM
348;ÇOĞU KÖPEK
349;BOŞ BABA
350;DEĞİŞİK ANNE
351;BİR KEDİ
352;SICAK KARPUZ
353;HOŞ NİNE
354;GÜÇLÜ KARTAL
355;TOPLUMSAL ÖĞRETMEN
356;NÜKTELİ KARPUZ
357;DOĞAL KARTAL
358;MUHAFAZAKAR KEDİ
359;KAÇ İPLİK
360;İLGİLİ KEDİ
361;KIZGIN İĞNE
362;BİRER HALA
363;HIRÇIN HALA
364;BİRAZ ANNE
365;BAŞARILI İĞNE
366;SOĞUK İĞNE
367;ŞİŞMAN ÇORAP
368;ZAYIF HAKİM
369;ÇOLAK KARTAL
370;DİĞER BABA
371;ÖZEL KARTAL
372;MODERN MÜHENDİS
373;DAR KARPUZ
374;ON İPLİK
375;HER BABA
376;HERŞEY NİNE
377;BÜTÜN CEVİZ
378;TAM ELDİVEN
379;YAKLAŞIK DOKTOR
380;SERT MAKAS
381;ULUSLARARASI KARPUZ
382;SİMETRİK İPLİK
383;FAZLA 
384;VAR DEDE
385;HAZIR DOKTOR
386;FAZLA İPLİK
387;AİT KARPUZ
388;İLK 
389;YALNIZ ÇORAP
390;DAR FINDIK
391;SÜREKLİ AĞABEY
392;PEK İĞNE
393;SOSYAL İPLİK
394;AİT KARDEŞ
395;VURDUMDUYMAZ TEYZE
396;VURDUMDUYMAZ İĞNE
397;BELLİ CEVİZ
398;DEĞİŞİKLİĞE AÇIK TORUN
399;ÜST TORUN
400;ENGELLİ AYAKKABI
401;BASİT FINDIK
402;ŞÜPHECİ AĞABEY
403;AİT BABA
404;DÜŞÜK KÖPEK
405;YENİ HAKİM
406;YENİ BABA
407;YUMUŞAK KÖPEK
408;BAŞARILI MÜHENDİS
409;İKİNCİ MİLLETVEKİLİ
410;ÖNEMLİ DOKTOR
411;LAZIM DOKTOR
412;FAZLA AĞABEY
413;SEVGİLİ ÖĞRETMEN
414;DÜŞÜK AĞABEY
415;YALNIZ TARAK
416;BAZI HAKİM
417;SOL HAKİM
418;KÖTÜ MÜHENDİS
419;SONDERECE HALA
420;GELEN MİLLETVEKİLİ
421;KESİN ÇORAP
422;İLK CEKET
423;DOĞAL YEĞEN
424;HIRÇIN CEKET
425;KENDİNE GÜVENMEYEN HAKİM
426;İLGİNÇ DEDE
427; DOKTOR
428;ÜST KARDEŞ
429;İYİMSER AVUKAT
430;YOĞUN KEDİ
431;MAVİ DOKTOR
432;AZ ÖĞRETMEN
433; TORUN
434;BASİT İPLİK
435;ŞİŞMAN TARAK
436;KIRICI YEĞEN
437;BENCİL KEDİ
438;TAM HALA
439;TIKNAZ BABA
440;ON BABA
441;AĞIR AYAKKABI
442;YAKLAŞIK KÖPEK
443;KÜÇÜK ÖĞRETMEN
444;ÜÇÜNCÜ AYAKKABI
445;UZAK MAKAS
446;ÇEŞİTLİ KARDEŞ
447;KÜÇÜK AYAKKABI
448;YEŞİL ÖĞRETMEN
449;BÖYLE HALA
450;YENİ MAKAS
451;SISKA MAKAS
452;ÇOLAK İĞNE
453;ZAYIF KARPUZ
454;SORUMLULUK SAHİBİ MAKAS
455;CİDDİ MİLLETVEKİLİ
456;BİRER BABA
457;BEYAZ DEDE
458;DERİN İĞNE
459;YÜKSEK ÖĞRETMEN
460;SİMETRİK ANNE
461;KEDERLİ KARDEŞ
462;GENİŞ KEDİ
463;KASITLI ÖĞRETMEN
464;ORTA MAKAS
465;NÜKTELİ KARDEŞ
466;YÖNELİK 
467;YÜKSEK TARAK
468;DEĞİŞİK KARDEŞ
469;BÜTÜN MAKAS
470;ART YEĞEN
471;ALT BABA
472;ÜST NİNE
473;ART KEDİ
474;İLGİNÇ MÜHENDİS
475;SOL YEĞEN
476;BÖYLE KARDEŞ
477;DÖRT CEKET
478;İLK ÖĞRETMEN
479;EKONOMİK KÖPEK
480;SUSKUN İĞNE
481;YETERLİ YEĞEN
482;SARI HAKİM
483;İYİMSER ÖĞRETMEN
484;DERİN KARTAL
485;KALPSİZ HALA
486;KÖTÜ AĞABEY
487;GÜÇLÜ MÜHENDİS
488;ZENGİN KARTAL
489;SOSYAL İĞNE
490;YUKARIDA İĞNE
491;AĞIR KARTAL
492;MOR KARPUZ
493;BAZI KİRAZ
494;DÖRT AVUKAT
495;SISKA HAKİM
496;DÜŞÜK ELDİVEN
497;FARKLI TARAK
498;VEFASIZ AVUKAT
499;DERİN KİRAZ
500;GEREKLİ CEKET
501;SUSKUN BABA
502;ULUSLARARASI TEYZE
503;İYİ KARDEŞ
504;YÜKSEK DEDE
505;BİRİNCİ MÜHENDİS
506;İKİNCİ FINDIK
507;DİĞER AĞABEY
508;SAKİN NİNE
509;GÜVENİLMEZ BABA
510;EKONOMİK AYAKKABI
511;GERİ TARAK
512;KÖTÜ KALPLİ TEYZE
513;KAÇ MİLLETVEKİLİ
514;YUKARIDA BABA
515;SOL ÖĞRETMEN
516;ASIL TARAK
517;SİMETRİK KARDEŞ
518;CİMRİ MAKAS
519;MODERN KARDEŞ
520;TÜM 
521;LAZIM BABA
522;YETERLİ HALA
523;DOĞAL KARDEŞ
524;ŞÜPHECİ ANNE
525;ULUSLARARASI NİNE
526;TEK MİLLETVEKİLİ
527;ÇOĞU HALA
528;BİRKAÇ YEĞEN
529;AŞIRI ÇORAP
530;FAZLA MİLLETVEKİLİ
531;SEVGİLİ NİNE
532;ZALİM KARDEŞ
533;TIKNAZ TEYZE
534;ZALİM AVUKAT
535;BİR DEDE
536;TÜM NİNE
537;SICAK TEYZE
538;YAKIN İĞNE
539;FARKLI KEDİ
540;İYİ ANNE
541;YENİ KARPUZ
542;HOŞ CEVİZ
543;ESKİ DOKTOR
544;MOR DOKTOR
545;DAR BABA
546;TAM BABA
547;HER KEDİ
548;YAKLAŞIK AĞABEY
549;YAKIN MÜHENDİS
550;KEDERLİ KARPUZ
551;AYRI HALA
552;BELLİ MÜHENDİS
553;KÖTÜ KÖPEK
554;BENZER FINDIK
555;TABİ AĞABEY
556;SAĞ TORUN
557;KENDİNE GÜVENEN ANNE
558;SOSYAL KARTAL
559;YUMUŞAK İĞNE
560;İLGİLİ ÇORAP
561;YÖNELİK FINDIK
562;DAHA YEĞEN
563;İLK YEĞEN
564;CANLI TEYZE
565;İKİ ELDİVEN
566;ÜÇ MİLLETVEKİLİ
567;KIRMIZI ÇORAP
568;KÖTÜ ÇORAP
569;GEREKLİ ELDİVEN
570;AYRI KARTAL
571;BENZER TEYZE
572;BAZI KARTAL
573;BAŞARILI MİLLETVEKİLİ
574;İYİ ÖĞRETMEN
575;BAŞARILI CEKET
576;EŞ AĞABEY
577;RAHAT CEVİZ
578;YENİ KARDEŞ
579;İLGİLİ TORUN
580;İLGİNÇ KEDİ
581;YENİ KARTAL
582;KARMAŞIK MİLLETVEKİLİ
583;İŞ BİRLİĞİNE YATKIN KEDİ
584;KENDİNE GÜVENEN NİNE
585;YUMUŞAK HAKİM
586;MAVİ TARAK
587;HERHANGİ BİR TEYZE
588;GEREK TARAK
589;GERİ KARTAL
590;İLK MİLLETVEKİLİ
591;SOL FINDIK
592;TEK MÜHENDİS
593;NORMAL ANNE
594;BİR KİRAZ
595;GÜVENİLMEZ İPLİK
596;KAÇ TORUN
597;YALNIZ NİNE
598;MODERN ÖĞRETMEN
599;ÇOK KÖPEK
600;KAHVERENGİ TORUN
601;TEK YEĞEN
602;DÜŞMAN CEKET
603;TABİ ÇORAP
604;DEĞİŞİKLİĞE AÇIK KEDİ
605;BÜYÜK TORUN
606;KAÇ DEDE
607;ŞİŞMAN KİRAZ
608;DAHA ELDİVEN
609;KAÇ KİRAZ
610;KARANLIK HALA
611;KIRICI MİLLETVEKİLİ
612;ZENGİN MİLLETVEKİLİ
613;MÜMKÜN CEKET
614;SUSKUN HALA
615;PRENSİPLİ KEDİ
616;BOŞ AVUKAT
617;YAKIN AVUKAT
618;YOĞUN HAKİM
619;YAVAŞ ÖĞRETMEN
620;İLK AVUKAT
621;KESİN MAKAS
622; KİRAZ
623;KOLAY CEVİZ
624;DİĞER ÇORAP
625;CİMRİ ELDİVEN
626;ŞÜPHECİ MAKAS
627;AKLI BAŞINDA KARTAL
628;AYNI ÇORAP
629;ÇOK AĞABEY
630;BİRER DEDE
631;DERİN FINDIK
632;GENİŞ AVUKAT
633;PEK 
634;HOŞ YEĞEN
635;NORMAL CEVİZ
636;SÜREKLİ NİNE
637;YEDİ ELDİVEN
638;KÖTÜMSER AĞABEY
639;KISA İĞNE
640;BEYAZ DOKTOR
641;BİRKAÇ HAKİM
642;İLK FINDIK
643;SAKİN MİLLETVEKİLİ
644;TAMAM DOKTOR
645;DÜŞMAN ÖĞRETMEN
646;ÜÇÜNCÜ KEDİ
647;BENCİL ÖĞRETMEN
648;ÇOK KEDİ
649;DÖRT DOKTOR
650;YUMUŞAK KEDİ
651;YARI MAKAS
652;YÜKSEK MİLLETVEKİLİ
653;BAŞARILI KEDİ
654;ESKİ ANNE
655;SAĞLIKLI HAKİM
656;BİRAZ ÇORAP
657;DAHA AVUKAT
658;SAĞ DEDE
659;GEREKLİ ANNE
660; KARTAL
661;ADALETSİZ ANNE
662;ART DEDE
663;EKONOMİK İPLİK
664;AKLI BAŞINDA KİRAZ
665;TAMAM CEVİZ
666;SAKİN AVUKAT
667;TERS KARDEŞ
668;ORTA ANNE
669;MÜMKÜN KARTAL
670;ÇOK MİLLETVEKİLİ
671;KESİN TARAK
672;DAR ÖĞRETMEN
673;DEĞİŞİK ÖĞRETMEN
674;ŞİŞMAN KARTAL
675;DEĞİŞİK ÇORAP
676;AYNI AĞABEY
677;ÖZEL TORUN
678;ÜNLÜ NİNE
679;TAM KİRAZ
680;BİRİNCİ KEDİ
681;GENEL HALA
682;BİRER AVUKAT
683;HAZIR ÖĞRETMEN
684;ZAYIF FINDIK
685;EŞ HAKİM
686;DAHA 
687;KISA DEDE
688;EMİN DOKTOR
689;VURDUMDUYMAZ AVUKAT
690;KIRMIZI KEDİ
691;YAPAY ÇORAP
692;SOSYAL MAKAS
693;MOR HALA
694;TERS HAKİM
695;İLK TARAK
696;MUHAFAZAKAR ANNE
697;HAZIR TEYZE
698;KOLAY KÖPEK
699;BİR ÇORAP
700;İNCE CEVİZ
701;KIZGIN BABA
702;AKLI BAŞINDA HALA
703;ÜÇ KEDİ
704;AİT YEĞEN
705;KAHVERENGİ AĞABEY
706;BİRİNCİ NİNE
707;KABİLİYETLİ HALA
708;TERS YEĞEN
709;ZALİM NİNE
710;GEÇEN TARAK
711;BELLİ İPLİK
